fold,model,city,mae,rmse,mape
8,xgb_cases_climate_sst,Belo Horizonte,248.63877753491673,515.9323768642726,16.70774872276487
8,xgb_cases_climate_sst,Rio de Janeiro,181.0379065747531,281.3550594500059,18.462446115646504
8,xgb_cases_climate_sst,São Paulo,246.12119393978477,377.22006363118385,20.010430641047282
8,xgb_cases_climate_sst,Vitória,60.45716857910156,94.40894988156519,14.227141318658578
8,xrfm_cases_only,Belo Horizonte,221.48647783387383,470.84619039210867,16.62689631391476
8,xrfm_cases_only,Rio de Janeiro,150.70198462144384,241.23686407399,15.788527005757969
8,xrfm_cases_only,São Paulo,189.57946719763413,315.02188183527073,14.588535462242428
8,xrfm_cases_only,Vitória,53.271996983941996,77.19630585329513,13.684309714398884
8,xrfm_cases_climate,Belo Horizonte,218.54578010990934,468.2946917342277,16.588296337099493
8,xrfm_cases_climate,Rio de Janeiro,152.44536230699072,241.04364256782395,16.099965475279664
8,xrfm_cases_climate,São Paulo,190.5586835753243,316.44675578376837,14.618078528086976
8,xrfm_cases_climate,Vitória,52.17966821058741,76.83478257696332,13.602300789320514
8,xrfm_cases_climate_sst,Belo Horizonte,244.6876145848688,501.8135931575415,17.529026639526467
8,xrfm_cases_climate_sst,Rio de Janeiro,172.5355106569686,261.34759811761086,17.618716738321258
8,xrfm_cases_climate_sst,São Paulo,199.9076228591631,333.617286432772,15.051422417592105
8,xrfm_cases_climate_sst,Vitória,56.771033377017616,79.10529389443171,14.243412511308259
9,baseline,Belo Horizonte,5374.2692307692305,10286.048948043095,53.599401696088144
9,baseline,Rio de Janeiro,2305.1153846153848,4543.806782525317,98.50635456693236
9,baseline,São Paulo,23008.846153846152,36453.765788377015,82.6005734316354
9,baseline,Vitória,102.51923076923077,156.82026703792513,21.01485134389622
9,sarima,Vitória,297.9063483684282,445.7902941205683,47.135289081339096
9,sarima,Belo Horizonte,4234.6948336692285,6067.409218907015,286.959287447853
9,sarima,Rio de Janeiro,3312.895603234552,4292.8146026632485,347.47947122877633
9,sarima,São Paulo,20116.31830926107,32774.57191517467,58.719149019991136
9,xgb_cases_only,Belo Horizonte,2977.1090871370757,6111.153210627565,24.07230730059625
9,xgb_cases_only,Rio de Janeiro,398.57235013521637,893.702674416987,13.440000188263987
9,xgb_cases_only,São Paulo,18319.24331195538,31627.970772403445,42.1490607310843
9,xgb_cases_only,Vitória,68.53695106506348,113.63570813293968,13.525653366110163
9,xgb_cases_climate,Belo Horizonte,3068.3684648367075,6260.519000117585,24.03827537700087
9,xgb_cases_climate,Rio de Janeiro,445.1919488173265,993.5161933136935,14.415826493802381
9,xgb_cases_climate,São Paulo,18491.05753502479,31767.56241431087,43.5881199028709
9,xgb_cases_climate,Vitória,67.94814153817984,110.78382160193597,13.988427729560662
9,xgb_cases_climate_sst,Belo Horizonte,3692.150155580961,7377.075043090103,28.68392979138631
9,xgb_cases_climate_sst,Rio de Janeiro,733.8843448345477,1665.0344547488073,17.747611992752173
9,xgb_cases_climate_sst,São Paulo,19570.972306471605,32987.017099972065,50.73548479463608
9,xgb_cases_climate_sst,Vitória,68.12862572303185,112.37330611034004,14.223310285761917
9,xrfm_cases_only,Belo Horizonte,959.9818077087402,1850.0563311146977,16.389437500906574
9,xrfm_cases_only,Rio de Janeiro,474.60446401742786,899.6279719206984,15.475502020038137
9,xrfm_cases_only,São Paulo,8780.93873478816,15439.024246775925,27.59555841577339
9,xrfm_cases_only,Vitória,70.16349704448993,107.69033966985899,15.064070424374822
9,xrfm_cases_climate,Belo Horizonte,841.7171774644119,1670.1035986178817,14.399836763409517
9,xrfm_cases_climate,Rio de Janeiro,516.2979991619403,1024.6857200182155,15.069564588187493
9,xrfm_cases_climate,São Paulo,6909.755159818209,12065.26383380584,21.86116166745492
9,xrfm_cases_climate,Vitória,66.34853553771973,104.06980620691283,14.342892132788954
9,xrfm_cases_climate_sst,Belo Horizonte,845.5928723261907,1693.8170555045103,14.574851981327654
9,xrfm_cases_climate_sst,Rio de Janeiro,533.3926283029409,1091.5722973803804,14.95424800857334
9,xrfm_cases_climate_sst,São Paulo,5403.123734694261,9436.412246795806,17.589185793123306
9,xrfm_cases_climate_sst,Vitória,64.04073275052585,98.18616331559751,14.204813584894978
10,baseline,Belo Horizonte,5946.173076923077,10926.174834736572,571.8763381040717
10,baseline,Rio de Janeiro,2107.076923076923,4361.997024123416,213.6605211796735
10,baseline,São Paulo,17890.05769230769,29549.07091244091,177.9197913807652
10,baseline,Vitória,323.8076923076923,485.446067669092,172.5478253644831
10,sarima,Vitória,217.00897683517536,268.2550488260822,144.52016002574305
10,sarima,Belo Horizonte,527.621267403323,841.7455648720631,79.05985561454307
10,sarima,Rio de Janeiro,139.80190493249498,194.45720192511143,27.904246221050094
10,sarima,São Paulo,1376.8694990058173,1851.0091972251787,22.60319421654246
10,xgb_cases_only,Belo Horizonte,84.47896047738882,131.35143055872467,14.250602391160855
10,xgb_cases_only,Rio de Janeiro,82.76345473069411,145.33201439522875,13.596527535174637
10,xgb_cases_only,São Paulo,744.5315457857572,1138.2469851248002,12.919923236099077
10,xgb_cases_only,Vitória,29.179379096397987,40.06850373065225,18.15287349995912
10,xgb_cases_climate,Belo Horizonte,86.28776990450345,136.32342720122722,15.003371052225651
10,xgb_cases_climate,Rio de Janeiro,83.1733885544997,150.36142079898994,13.130814296838352
10,xgb_cases_climate,São Paulo,739.645005446214,1147.015127172987,12.80560702872015
