"SE" "temp_med" "casos" "pop"
"351" 201638 16.1768528571429 15 263915
"352" 201639 14.8797142857143 18 263915
"353" 201640 17.0785 23 263915
"354" 201641 18.1817285714286 31 263915
"355" 201642 23.1995428571429 34 263915
"356" 201643 18.5608571428571 30 263915
"357" 201644 18.1485571428571 48 263915
"358" 201645 20.7547571428571 16 263915
"359" 201646 20.0227714285714 23 263915
"360" 201647 18.0803571428571 49 263915
"361" 201648 23.3139285714286 59 263915
"362" 201649 21.5561714285714 57 263915
"363" 201650 21.0629142857143 50 263915
"364" 201651 22.3684285714286 60 263915
"365" 201652 24.5755333333333 57 263915
"366" 201701 24.1559 35 263915
"367" 201702 24.5201142857143 45 263915
"368" 201703 24.1938714285714 42 263915
"369" 201704 21.7718285714286 32 263915
"370" 201705 22.6120714285714 30 263915
"371" 201706 21.7591714285714 32 263915
"372" 201707 23.9431857142857 29 263915
"373" 201708 23.8597 34 263915
"374" 201709 23.4122 56 263915
"375" 201710 24.2384571428571 49 263915
"376" 201711 20.0165 49 263915
"377" 201712 21.1527857142857 56 263915
"378" 201713 20.9734714285714 42 263915
"379" 201714 20.9550428571429 55 263915
"380" 201715 20.5111285714286 35 263915
"381" 201716 19.6501 41 263915
"382" 201717 15.3735885714286 34 263915
"383" 201718 17.4343571428571 29 263915
"384" 201719 18.8594142857143 33 263915
"385" 201720 16.5387 22 263915
