"SE" "temp_med" "casos" "pop"
"241" 201433 20.4206857142857 58 6498837
"242" 201434 21.7247285714286 51 6498837
"243" 201435 21.5888571428571 59 6498837
"244" 201436 21.9714285714286 63 6498837
"245" 201437 23.2848142857143 47 6498837
"246" 201438 23.8127 54 6498837
"247" 201439 22.9608857142857 54 6498837
"248" 201440 23.3265428571429 72 6498837
"249" 201441 23.0462 63 6498837
"250" 201442 24.8485 80 6498837
"251" 201443 23.4056428571429 75 6498837
"252" 201444 26.0637 103 6498837
"253" 201445 26.8488285714286 41 6498837
"254" 201446 23.8347428571429 47 6498837
"255" 201447 23.9975142857143 54 6498837
"256" 201448 25.4422571428571 42 6498837
"257" 201449 25.9199714285714 59 6498837
"258" 201450 28.0559857142857 48 6498837
"259" 201451 26.2231428571429 44 6498837
"260" 201452 28.3417 19 6498837
"261" 201453 29.7679285714286 17 6498837
"262" 201501 28.7669 43 6498837
"263" 201502 30.2258714285714 57 6498837
"264" 201503 28.5979428571429 41 6498837
"265" 201504 28.6480428571429 37 6498837
"266" 201505 25.7480857142857 57 6498837
"267" 201506 29.5935285714286 58 6498837
"268" 201507 27.2830571428571 41 6498837
"269" 201508 28.1493571428571 98 6498837
"270" 201509 26.9564857142857 127 6498837
"271" 201510 26.3270571428571 157 6498837
"272" 201511 25.9089142857143 207 6498837
"273" 201512 24.9292714285714 281 6498837
"274" 201513 25.3739 279 6498837
"275" 201514 24.1157428571429 475 6498837
"276" 201515 25.2475142857143 887 6498837
"277" 201516 25.2890571428571 748 6498837
"278" 201517 22.4128142857143 1097 6498837
"279" 201518 22.5842 1367 6498837
"280" 201519 22.0154714285714 1465 6498837
"281" 201520 22.5425714285714 1549 6498837
"282" 201521 23.3034857142857 1476 6498837
"283" 201522 21.6820714285714 949 6498837
"284" 201523 23.2799142857143 1127 6498837
"285" 201524 21.6352285714286 957 6498837
"286" 201525 19.9232285714286 779 6498837
"287" 201526 21.8608 824 6498837
"288" 201527 20.9909571428571 374 6498837
"289" 201528 23.1954857142857 365 6498837
"290" 201529 22.0024714285714 344 6498837
